Created,Name:: Name & Surname,Company Name:,Company Registration Number:,Industry,Province,Location of Head Office (address),Funding Ask (Amount):,City/Town,Type of Funding,Funding Requirements (what is the funding required for).,Annual Revenue Range 2023,Annual Revenue Range 2024,Actual Revenue 2025,Company Overview ,Existing number of employees ,Increase of jobs anticipated through the capital access,Number of Shareholders,What percentage of your business is owned by individuals aged 18 to 35? (Please select one),What percentage of your business is owned by women? (Please select one),What percentage of your business is under Black ownership? ,BEE Level,Area,What percentage of your business is owned by individuals living with a disability? (Please select one),Contact person Name and Surname,Email address:,Contact number:
2025-08-15 19:19:12,Elmarie Daniels,Daniels Manufacturing ,2011/627905/07,Education,Gauteng,"736 Biko Road, Kuruman",600000_________,Kuruman,Equity;Debt & Equity;Working Capital,Purchase of a delivery vehicle and cold storage unit,0 to R500K,R501K to R1M,603752_________,We grow and pack vegetables for regional wholesalers and retailers.,1.0,2.0,1,0%,25–49%,100%,Level 1,Urban,0%,Elmarie Daniels,elmariedaniels@gmail.com,079 288 4800
2025-08-25 07:30:21,Suzette Fourie,Beacon Holdings ,2013/679639/07,,Gauteng,"1968 Church Road, Richards Bay",1190000________,Richards Bay,Working Capital,"Raw materials, tooling and factory rental for the next 12 months",0 to R500K,0 to R500K,298746_________,A tourism operator offering guided township and heritage tours,5.0,12.0,1,0%,0%,100%,Level 1,Township,0%,Suzette Fourie,suzettefourie@mweb.co.za,+27782300719
2025-08-14 18:10:50,Hendrik Van,VAN CIVILS ,2019/949028/07,Transportation and Logistics,Western Cape,"76 Main Crescent, Centurion",3450000________,Centurion,Debt & Equity;Invoice Financing,To increase production and take on larger supply contracts ,R1 000 001 to R5M,R1 000 001 to R5M,2297089________,We supply and install security systems and CCTV. ,3.0,32.0,1,100%,100%,100%,Level 3,Rural,0%,Hendrik Van,hendrikvan485@icloud.com,064 412 0771
2025-07-09 22:54:36,Zanele Sekgobela ,Clear Water Agri,2008/237678/07,Manufacturing,Gauteng,"2689 Jakaranda Crescent, Worcester",350000_________,Worcester,Working Capital,Expansion into a second branch and hiring of staff ,0 to R500K,0 to R500K,70549__________,Solar installation business serving residential and small commercial clients ,1.0,3.0,6,75–99%,0%,100%,Level 1,Urban,0%,zanele sekgobela,zanelesekgobela@gmail.com,0812617981
2025-08-14 05:29:34,Mandla Botha ,Greenfield Foods CC,2009/802383/07,Waste Management,Gauteng,"3043 Main Road, Kuruman ",3300000________,Kuruman,Other (Please specify),Operational funding ,R1 000 001 to R5M,R1 000 001 to R5M,1098973________,We recycle plastic waste and sell processed pellets to manufacturers.,3.0,11.0,1,25–49%,100%,100%,Level 1,Rural,0%,mandla botha,mandlabotha155@outlook.com,+27832358353
2025-06-29 16:19:16,Dineo Sekgobela ,Sekgobela Group (Pty) Ltd,2017/853412/07,Information & Communication Technology,Western Cape,"780 Umgeni Road, Ladysmith ",30000__________,Ladysmith,Debt,To grow the business ,0 to R500K,0 to R500K,0______________,We recycle plastic waste and sell processed pellets to manufacturers.,17.0,,1,0%,1–24%,100%,Level 1,Township,0%,dineo sekgobela,dineosekgobela735@gmail.com,0865331768
2025-08-05 10:41:42,Kabelo Coetzee,Coetzee Group (Pty) Ltd ,2012/806076/07,Financial Services,Western Cape,"2335 Church Avenue, Cape Town",14360000_______,Cape Town ,,To increase production and take on larger supply contracts ,0 to R500K,0 to R500K,0______________,We provide ICT support and cloud services to small businesses in the province.,2.0,3.0,3,100%,100%,100%,Level 4,Rural,0%,Kabelo Coetzee,kabelocoetzee@mweb.co.za,078 081 2781
2025-09-01 23:52:13,Ashwin Dlamini ,Iron Gate Investments (Pty) Ltd,2020/408211/07,Business Services (Agency & Consultancy),Gauteng,"2692 Jan Smuts Avenue, Cape Town",10790000_______,Cape Town,Working Capital,"Marketing, customer acquisition and website development ",R20 000 001 to R50M,R20 000 001 to R50M,0______________,Solar installation business serving residential and small commercial clients ,60.0,2.0,6,25–49%,100%,100%,Level 1,Township,0%,Ashwin Dlamini,ashwindlamini@mweb.co.za,+27896853802
2025-08-24 07:18:48,Anisha Mnisi,Amandla Agri Group,2021/643656/07,Retail & Wholesale,Gauteng,"1200 Long Crescent, Centurion",14490000_______,Centurion,Equity,Bridging finance while awaiting payment from government contracts,0 to R500K,R1 000 001 to R5M,2414842________,Solar installation business serving residential and small commercial clients ,20.0,10.0,1,0%,100%,25–49%,Level 1,Rural,0%,Anisha Mnisi,ANISHAMNISI@OUTLOOK.COM,0821656043
2025-09-19 21:15:04,Vusi Baloyi,Baloyi Agri (Pty) Ltd,2021/987721/07,Information & Communication Technology,Western Cape,"1818 Protea Drive, Tzaneen ",20000__________,Tzaneen ,Purchase Order Funding,"Funding is required for equipment, training and certification.",0 to R500K,0 to R500K,25720__________,We supply and install security systems and CCTV. ,2.0,4.0,3,0%,0%,100%,Level 1,Rural,0%,Vusi Baloyi,vusibaloyi@yahoo.com,0674842307
